,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,check
00:44.7,1.300269563,0.663254464,1.193895787,0.21330936,0.837518858,0.338427832,0.709440702,0.049909603,0.837442,0.5200295,0.6197005,0.2928549,0.464673937,-0.027965216,-0.004670169,0.49012846,-0.118729767,-0.469717894,-0.50894683,0.32433802,1
00:44.8,1.388606485,0.700026837,1.221111469,0.21330936,0.910647273,0.335294485,0.733805327,0.049909603,0.837442,0.51787936,0.6197005,0.2928549,0.491525474,-0.040275736,0.019717658,0.49012846,-0.101903393,-0.47520941,-0.499543843,0.32433802,1
00:44.9,1.4433476,0.737214121,1.244557139,0.21330936,0.9576301,0.335270291,0.755868672,0.049909603,0.837442,0.513638273,0.6197005,0.2928549,0.50690603,-0.060432482,0.048751096,0.49012846,-0.09077633,-0.482841712,-0.496643083,0.32433802,1
00:45.0,1.4433476,0.764814599,1.260354446,0.21330936,0.9576301,0.336549342,0.773256496,0.049909603,0.837442,0.511384681,0.620026572,0.2928549,0.50690603,-0.082399798,0.073492599,0.49012846,-0.09077633,-0.481991516,-0.496348822,0.32433802,1
00:45.1,1.4433476,0.77203195,1.260069388,0.21330936,0.9576301,0.329376274,0.7762545,0.049909603,0.837442,0.510282744,0.620888806,0.2928549,0.50690603,-0.101748524,0.084149386,0.49012846,-0.09077633,-0.472290432,-0.498648778,0.32433802,1
00:45.2,1.4433476,0.755319655,1.237895963,0.21330936,0.9576301,0.302499603,0.758185492,0.049909603,0.837442,0.498781568,0.618020019,0.2928549,0.50690603,-0.11844754,0.078124509,0.49012846,-0.09077633,-0.458358852,-0.504130357,0.32433802,1
00:45.3,1.4433476,0.71638755,1.193908996,0.21330936,0.9576301,0.249174711,0.719131533,0.049909603,0.837442,0.452021503,0.600052469,0.2928549,0.50690603,-0.13125042,0.058308009,0.49012846,-0.09077633,-0.445522861,-0.511558153,0.32433802,1
00:45.4,1.4433476,0.662731969,1.137513813,0.21330936,0.9576301,0.174711903,0.671992723,0.049909603,0.837442,0.363974249,0.569789363,0.2928549,0.50690603,-0.13964777,0.036107174,0.49012846,-0.09077633,-0.435523818,-0.516517192,0.32433802,1
00:45.5,1.4433476,0.608715761,1.090898563,0.21330936,0.9576301,0.096280128,0.640888511,0.049909603,0.837442,0.270756502,0.601906875,0.2928549,0.50690603,-0.144706527,0.028808289,0.49012846,-0.09077633,-0.423729077,-0.513162444,0.32433802,1
00:45.6,1.4433476,0.57169867,1.079446,0.21330936,0.9576301,0.0345153,0.64593726,0.049909603,0.837442,0.22902374,0.6637717,0.2928549,0.50690603,-0.15012088,0.047994405,0.49012846,-0.09077633,-0.40436393,-0.49993753,0.32433802,1
00:45.7,1.4433476,0.562655482,1.100903083,0.21330936,0.9576301,-0.001840918,0.676215169,0.049909603,0.837442,0.201321927,0.731367224,0.2928549,0.50690603,-0.160253147,0.08463973,0.49012846,-0.09077633,-0.379273795,-0.483837003,0.32433802,1
00:45.8,1.4433476,0.569270026,1.124062663,0.21330936,0.9576301,-0.028825985,0.699543975,0.049909603,0.837442,0.186877096,0.73996832,0.2928549,0.50690603,-0.176763099,0.116650865,0.49012846,-0.09077633,-0.357936785,-0.473827505,0.32433802,1
00:45.9,1.4433476,0.575933384,1.134635441,0.21330936,0.9576301,-0.055530799,0.703131207,0.049909603,0.837442,0.168608085,0.7407772,0.2928549,0.50690603,-0.20129624,0.136069717,0.49012846,-0.09077633,-0.345813948,-0.474491367,0.32433802,1
00:46.0,1.4433476,0.57416098,1.128538633,0.21330936,0.9576301,-0.080752963,0.684062438,0.049909603,0.837442,0.137389197,0.7407772,0.2928549,0.50690603,-0.232617106,0.143591998,0.49012846,-0.09077633,-0.34594059,-0.487591334,0.32433802,1
00:46.1,1.4433476,0.562411526,1.114217422,0.21330936,0.9576301,-0.097713315,0.660391243,0.049909603,0.837442,0.10193242,0.744853411,0.2928549,0.50690603,-0.261129409,0.14557628,0.49012846,-0.09077633,-0.354803153,-0.510328982,0.32433802,1
00:46.2,1.4433476,0.532020097,1.114662972,0.21330936,0.9576301,-0.109999451,0.656560069,0.049909603,0.837442,0.09558876,0.785548309,0.2928549,0.50690603,-0.283069461,0.150501786,0.49012846,-0.09077633,-0.36699598,-0.548947583,0.32433802,1
